City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,funafuti,-8.5243,179.1942,33.0,75,40,3.09,TV,2024-04-09 03:10:28
252,severo-yeniseyskiy,60.3725,93.0408,-3.01,78,100,3.13,RU,2024-04-09 03:10:28
253,akbarabad,29.2464,52.7793,12.79,57,100,0.68,IR,2024-04-09 03:07:17
254,mugia,43.1041,-9.2179,11.06,64,10,5.81,ES,2024-04-09 03:10:28
255,pandan,14.0453,124.1694,29.75,70,94,4.58,PH,2024-04-09 03:10:28
256,ujae,8.9322,165.7642,27.69,82,100,9.61,MH,2024-04-09 03:10:29
257,jianshui,23.6363,102.8264,28.42,37,0,2.03,CN,2024-04-09 03:10:29
258,flying fish cove,-10.4217,105.6791,28.82,74,75,3.6,CX,2024-04-09 03:10:29
259,high river,50.5834,-113.8687,8.98,56,100,5.14,CA,2024-04-09 03:10:29
260,happy valley-goose bay,53.3168,-60.3315,-4.85,73,83,4.13,CA,2024-04-09 03:10:29
261,ribeira brava,32.65,-17.0667,18.17,77,35,0.92,PT,2024-04-09 03:10:29
262,sisimiut,66.9395,-53.6735,-9.79,87,49,4.0,GL,2024-04-09 03:10:29
263,les avirons,-21.2418,55.3394,21.05,64,0,2.57,RE,2024-04-09 03:10:29
264,dokkum,53.3222,5.997,14.43,89,100,6.17,NL,2024-04-09 03:08:50
265,nizhnesortymskiy,62.4397,71.7603,-7.61,85,100,4.52,RU,2024-04-09 03:10:29
266,sarmiento,-45.5882,-69.07,5.37,47,22,0.78,AR,2024-04-09 03:10:30
267,whitehorse,60.7161,-135.0538,2.83,78,100,2.6,CA,2024-04-09 03:10:30
268,broken hill,-31.95,141.4333,17.17,30,0,9.18,AU,2024-04-09 03:09:01
269,buncrana,55.1333,-7.45,6.57,89,100,7.92,IE,2024-04-09 03:10:30
270,lihue,21.9789,-159.3672,26.58,76,75,8.23,US,2024-04-09 03:10:30
271,puerto carreno,6.189,-67.4859,30.8,49,59,2.67,CO,2024-04-09 03:10:30
272,hithadhoo,-0.6,73.0833,29.12,72,100,2.14,MV,2024-04-09 03:10:30
273,bad homburg vor der hohe,50.2267,8.6196,17.69,73,100,0.88,DE,2024-04-09 03:10:30
274,yuzhno-kurilsk,44.0306,145.8556,1.32,98,100,10.55,RU,2024-04-09 03:10:31
275,wynyard,-41.0,145.7167,13.92,48,53,5.52,AU,2024-04-09 03:10:31
276,torghay,49.6339,63.4981,5.9,72,87,5.6,KZ,2024-04-09 03:10:31
277,port elizabeth,-33.918,25.5701,17.95,94,94,0.45,ZA,2024-04-09 03:10:31
278,daru,-9.0763,143.2092,30.47,68,100,1.72,PG,2024-04-09 03:10:31
279,lyubim,58.3625,40.6843,5.0,94,97,2.26,RU,2024-04-09 03:10:31
280,kampong chhnang,12.1667,104.55,35.92,42,34,4.84,KH,2024-04-09 03:10:31
281,horta,38.5333,-28.6333,16.68,97,88,7.15,PT,2024-04-09 03:10:31
282,touros,-5.1989,-35.4608,25.36,89,98,1.59,BR,2024-04-09 03:10:31
283,santa terezinha,-29.9002,-50.0904,22.22,88,0,1.92,BR,2024-04-09 03:10:32
284,smithers,54.7804,-127.1743,2.15,74,12,1.81,CA,2024-04-09 03:10:32
285,san antonio de pale,-1.4014,5.6325,27.96,77,100,3.14,GQ,2024-04-09 03:10:32
286,jati,24.3539,68.2671,30.04,20,4,5.85,PK,2024-04-09 03:10:32
287,keetmanshoop,-26.5833,18.1333,11.33,76,0,2.59,NA,2024-04-09 03:10:32
288,puerto cabezas,14.0351,-83.3888,27.25,74,100,3.27,NI,2024-04-09 03:10:32
289,upata,8.0086,-62.3989,26.22,71,99,2.96,VE,2024-04-09 03:10:32
290,haiku-pauwela,20.9219,-156.3051,25.12,71,20,10.8,US,2024-04-09 03:10:32
291,northam,51.0333,-4.2167,8.7,95,100,16.25,GB,2024-04-09 03:10:32
292,irkutsk,52.2978,104.2964,6.43,52,0,2.0,RU,2024-04-09 03:10:33
293,kudahuvadhoo,2.6708,72.8944,28.89,70,83,1.75,MV,2024-04-09 03:10:33
294,xichang,27.8964,102.2634,20.35,50,25,1.71,CN,2024-04-09 03:10:33
295,kanniyakumari,8.0833,77.5667,30.04,66,78,5.17,IN,2024-04-09 03:09:10
296,tuncurry,-32.1667,152.5,25.75,52,48,2.24,AU,2024-04-09 03:10:33
297,mahanoro,-19.9,48.8,23.72,86,21,0.87,MG,2024-04-09 03:10:33
298,port lincoln,-34.7333,135.8667,16.47,51,83,6.27,AU,2024-04-09 03:10:33
